
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
35 	**                                  3344
40 	***                                 6432
50 	*********                           22982
100 	******                              12980
250 	*                                   970
500 	*                                   562

sample: CD_19
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              14387
5 	****                                6925
10 	***                                 5586
15 	***                                 4730
20 	***                                 4396
25 	**                                  3940
30 	**                                  3641
35 	**                                  3344
40 	***                                 5785
50 	*******                             17151
100 	*****                               9823
250 	*                                   1062
500 	*                                   522

sample: CD_20
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              14479
5 	***                                 5454
10 	**                                  4053
15 	**                                  3468
20 	**                                  3300
25 	**                                  3384
30 	**                                  3346
35 	**                                  3323
40 	***                                 6373
50 	*********                           22144
100 	*****                               12481
250 	*                                   988
500 	*                                   548

sample: CD_21
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********                            18016
5 	****                                8484
10 	****                                6560
15 	***                                 5110
20 	***                                 4193
25 	**                                  3588
30 	**                                  3020
35 	**                                  2564
40 	***                                 4305
50 	******                              12178
100 	****                                8475
250 	**                                  1380
500 	*                                   563

sample: CD_22
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**************                      16105
5 	********                            8911
10 	*****                               4559
15 	***                                 2388
20 	**                                  1409
25 	**                                  835
30 	*                                   552
35 	*                                   431
40 	*                                   486
50 	**                                  638
100 	*                                   257
250 	*                                   90
500 	*                                   183

sample: CD_23
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             15885
5 	***                                 6436
10 	***                                 4863
15 	**                                  4095
20 	**                                  3553
25 	**                                  3454
30 	**                                  3380
35 	**                                  3278
40 	***                                 6389
50 	********                            21220
100 	*****                               12278
250 	*                                   1093
500 	*                                   567

sample: CD_24
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              15098
5 	***                                 6182
10 	***                                 4818
15 	***                                 4217
20 	**                                  3918
25 	**                                  3684
30 	**                                  3572
35 	**                                  3340
40 	***                                 6392
50 	********                            20374
100 	*****                               10631
250 	*                                   880
500 	*                                   500

sample: CD_25
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13087
5 	***                                 6759
10 	***                                 4723
15 	**                                  3930
20 	**                                  3890
25 	**                                  3900
30 	**                                  4055
35 	**                                  4049
40 	****                                7780
50 	*********                           22090
100 	***                                 6484
250 	*                                   411
500 	*                                   436

sample: CD_26
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13334
5 	***                                 6760
10 	***                                 5294
15 	***                                 4493
20 	**                                  3959
25 	**                                  3825
30 	**                                  3830
35 	**                                  3684
40 	***                                 7002
50 	*********                           21312
100 	****                                9550
250 	*                                   676
500 	*                                   468

sample: CD_27
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             22150
5 	****                                10589
10 	***                                 7684
15 	***                                 5479
20 	**                                  4121
25 	**                                  3635
30 	**                                  3366
35 	**                                  3390
40 	***                                 6526
50 	********                            22624
100 	*****                               12347
250 	*                                   945
500 	*                                   559

sample: CD_28
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12944
5 	***                                 5117
10 	**                                  3692
15 	**                                  3171
20 	**                                  2975
25 	**                                  3031
30 	**                                  3113
35 	**                                  3159
40 	***                                 6415
50 	**********                          23383
100 	******                              13434
250 	*                                   1052
500 	*                                   561

sample: CD_29
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12973
5 	***                                 5575
10 	***                                 4295
15 	**                                  3689
20 	**                                  3354
25 	**                                  3505
30 	**                                  3518
35 	**                                  3529
40 	***                                 6730
50 	*********                           22661
100 	*****                               11123
250 	*                                   844
500 	*                                   515

sample: CD_30
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	********                            25734
5 	****                                11192
10 	***                                 7526
15 	***                                 5624
20 	**                                  4470
25 	**                                  4143
30 	**                                  3971
35 	**                                  3843
40 	***                                 7095
50 	*******                             20830
100 	****                                9384
250 	*                                   672
500 	*                                   498

sample: CD_31
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             18576
5 	****                                9074
10 	***                                 6741
15 	***                                 5693
20 	***                                 5074
25 	***                                 4645
30 	***                                 4453
35 	**                                  4110
40 	***                                 6917
50 	*******                             17078
100 	***                                 5813
250 	*                                   404
500 	*                                   412

sample: CD_32
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             14349
5 	******                              11414
10 	*****                               9745
15 	*****                               8133
20 	****                                6360
25 	***                                 4899
30 	***                                 3682
35 	**                                  2538
40 	**                                  3381
50 	***                                 4014
100 	*                                   592
250 	*                                   140
500 	*                                   212

sample: CD_34
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12953
5 	***                                 5714
10 	***                                 4683
15 	***                                 4202
20 	***                                 4038
25 	**                                  3835
30 	**                                  3842
35 	**                                  3666
40 	***                                 6571
50 	********                            19437
100 	*****                               9486
250 	*                                   758
500 	*                                   484

sample: CD_35
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              14065
5 	***                                 5712
10 	***                                 4263
15 	**                                  3847
20 	**                                  3499
25 	**                                  3474
30 	**                                  3402
35 	**                                  3380
40 	***                                 6138
50 	*********                           20708
100 	******                              12497
250 	*                                   1180
500 	*                                   567

sample: CD_37
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             19414
5 	****                                10256
10 	***                                 7113
15 	***                                 5375
20 	***                                 5059
25 	***                                 5135
30 	***                                 4921
35 	**                                  4457
40 	****                                7607
50 	******                              16173
100 	**                                  3594
250 	*                                   265
500 	*                                   370

sample: CN_10
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*******                             17381
5 	****                                9040
10 	***                                 6168
15 	***                                 4979
20 	***                                 4879
25 	***                                 4634
30 	***                                 4646
35 	***                                 4413
40 	****                                7769
50 	*******                             17853
100 	**                                  4335
250 	*                                   327
500 	*                                   408

sample: CN_11
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12906
5 	***                                 5867
10 	***                                 4471
15 	**                                  3638
20 	**                                  3312
25 	**                                  3345
30 	**                                  3455
35 	**                                  3471
40 	***                                 6540
50 	*********                           22500
100 	*****                               12428
250 	*                                   950
500 	*                                   579

sample: CN_12
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12725
5 	***                                 5007
10 	**                                  3731
15 	**                                  2963
20 	**                                  2482
25 	**                                  2331
30 	**                                  2446
35 	**                                  2475
40 	***                                 5182
50 	*********                           22986
100 	********                            18931
250 	**                                  2157
500 	*                                   710

sample: CN_14
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              12194
5 	***                                 5414
10 	***                                 4430
15 	***                                 3997
20 	***                                 4002
25 	***                                 4087
30 	**                                  3969
35 	**                                  3840
40 	****                                7271
50 	*********                           21126
100 	****                                8079
250 	*                                   531
500 	*                                   460

sample: CN_15
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13808
5 	***                                 6168
10 	***                                 4852
15 	***                                 4355
20 	***                                 4196
25 	***                                 4206
30 	***                                 4088
35 	**                                  3899
40 	****                                7119
50 	********                            19624
100 	****                                7531
250 	*                                   506
500 	*                                   451

sample: CN_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********                          19709
5 	*******                             13295
10 	*****                               8999
15 	****                                6123
20 	***                                 4309
25 	**                                  3158
30 	**                                  2248
35 	**                                  1669
40 	**                                  2241
50 	***                                 3331
100 	*                                   736
250 	*                                   158
500 	*                                   254

sample: CN_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	************                        22150
5 	********                            13282
10 	*****                               7631
15 	***                                 4569
20 	**                                  2825
25 	**                                  1838
30 	**                                  1296
35 	*                                   879
40 	**                                  1161
50 	**                                  1415
100 	*                                   390
250 	*                                   121
500 	*                                   228

sample: CN_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	**********                          17152
5 	******                              10134
10 	*****                               7432
15 	****                                5647
20 	***                                 4078
25 	**                                  2940
30 	**                                  2307
35 	**                                  1775
